context,emotion
 立春 冬奥 开幕   垃圾桶 旁边  一棵 粉 茶花,0
天天 关注 国际 国内  冬奥 夺金 疫情 乌克兰 政局      穷 逼 事  忘 ,0
王一博 王一博 冰雪 运动 推广 大使 wyb 王一博 冬奥 文化 推广 使者,1
 冬奥  结束      疫情  延长   假期 仿佛  冬天  跟着  结束   迫不及待  回京   吃 铜锅 涮 肉 珍惜  一场 雪 拉着 朋友 逛 国子监 五道 营  冬奥 专卖店 感受 空空  货架 仿佛    解一解   乡愁  积攒  能量  出发 南方  小镇 山清水秀 空气 湿润  清新 一年四季  绿 抬眼   蓝天  山脉     份 思念   真正 第一次 体会    飞机 上往 下望 一眼   澎湃  心  闻一闻   空气 脚 踩  这块 地上  心安  舒坦  踏实 春天       出发  一年  虎 ,1
车俊焕 摔  粉丝 忍忍  乖  整   粉圈  国籍 黑   冬奥     ,0
北京 冬奥 今晚 闭幕  期待,1
情侣 头像 冬奥 冰墩 墩 冰墩 墩 雪容融  梦幻 联动 HelloKitty 雪容融  可爱 ,1
第一个  适合 入坑 做     安利  推  视频 第二个 应援 视频 太棒了 年  年 平昌 关注   北京 冬奥 四年 时间   高中  大学 经历  疫情  周遭 人事 变迁  感谢   现役    考试 或备赛 无暇 关注 wc  比赛 回 回 只能 赶上 补档 本想 冬奥 开放 观众席 买票 入场   疫情 取消 开放     现场 机会  刚刚    一遍 巴散  晴明 希望 号 白天  自由滑 顺利 玉,0
爱 运动 中国  安踏  期待 冬奥 ,1
今日 立春 冬奥 开幕 晚上 点 开幕式     惊喜 ,0
相约 冬奥  未来  次 披星戴月  回 攻坚克难 中国 言必信 行必果 冬奥 蓝图 一步步 变为 现实 外国语 学院,1
从夏奥到 冬奥    好爽  期待 下个 夏季 奥运会  冬季 奥运会     疫情  走出 国门  巴黎  米兰   更好  彩虹 屁,1
英达 儿子 英如镝  冬奥 上场   家  今晚  冰球       期待      发现  英如镝   英达  儿子 这是  小说 情节  爱  男子 冰球 中国 美国 冲突,1
龚俊 冬奥 播报 加油,1
黄明昊  冬奥 火炬手 疫情  举办  举世瞩目  赛事 中国 克服  难以想象   困难    正 能量 青年 黄明昊,1
 冬奥 火炬手 针织 帽 种草  冬奥 同款  针织 帽 真的 太 戳     想要  帽子 真的 好羡慕 马龙  雷军 想要   同款,1
北京 年 冬奥会 祝贺 北京 冬奥会 开幕  冬奥 健儿 喝彩  中国 加油 蒙地卡罗 瓷砖 无需 掩饰   精致,1
今晚  北京 冬奥会 闭幕式  聚焦 运动员 外 舞台 演出   普通群众   中   才华横溢  中小学生 意气风发  大学生  精神 矍铄  大爷 大妈  期待 北京 冬奥 闭幕式 演员   普通人,1
冬奥 官方 店冰墩 墩 卖光  可爱 可爱,1
 蒙曼 教授 共赴 冬奥  诗词  方式 O  蒙曼 教授 共赴 冬奥  诗词  方式,0
 想  出卷 老师  商量 商量 儿童画 改成 分钟 行不行 分钟 我能 画 完  色  鬼   主题  冬奥 行不行   讨厌  绿色    春天 行不行,-1
美媒 精彩 冬奥 赛事 吸引 美国 观众 数量 猛增  美国      收看 北京 冬奥会 成功  突破  西方 媒体  滤镜  完美  展现   北京 冬奥会  魅力 LWS 偏执狂  微博 视频,1
东北 话   文化 输出  濛 主出 圈 唠嗑 式 解说  冬奥 另类 体验 爆火 圈   情况   问 鬼畜 饶过  笑 不活  O 网页 链接,1
周深 加盟 星运 电台 冬奥 季  方知  世间 最美  事故    一笑 如故 倾   满城 烟土,1
奥运 品质 我耀 此刻 冬奥 加油,1
肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 xz 肖战 加盟 奇妙 城 演员 肖战献 唱 用尽    奔    真诚 发言 鼓励 在场 所有人  歌里  唱  用尽  力量 奔   渴望  地方    感受 执着 追梦  力量  肖战,1
 中国 冬奥 健儿 加油 夜黑风高 浮上 心头 回首往事 事事 上头  微博 视频,0
下午  狙击手 哭   下午 晚上  冬奥 开幕式 中国队    不行 ,1
      冬奥 结束  短短 十几天 里 重现   疫情 之下 沉寂 久  快乐  热情 墩子   耍宝 搞怪  泡菜   各国 运动员  呈现  那种 友爱 快乐   一种 疫情      感觉 快乐      现生  轻松 飞            开学 闭关 ,1
吃 盼 盼  冬奥 感觉 真的  太绝   希望       惊喜 带给   特别  喜欢  支持  快乐  惊喜,1
冰雪  温度    梦想   前行    感受    一种 东西    魅力  冰雪   冷    用爱 融化  岁  男孩 冰球队  北京 冬奥 重返 冰场,1
 冬奥 开幕式    国家 自信    我行    不行 谁行  阶段 未来  我要 不行   不行,1
北京 冬奥 今晚 闭幕 搬   板凳   闭幕 ,0
张杰 张杰  北京 冬奥 唱雪 龙吟  一看   喜欢  天  不好意思 天 没卡到,1
别看 冬奥  热 搜 整天 热闹  不行  大部分 项目 解说员  选手 完赛   完赛   奥运会   名字,0
  参与 安踏 冬奥 品牌 时刻    即可 解锁 安踏 冬奥 周边     品牌 时刻 冬奥会,0
北京 冬奥 北京 北京 冬奥会 开幕式 北京 年 冬奥会  美的 衣服  乱 好看,-1
 b 站上 刷   一个多 小时  国外  冬奥  vlog 视频   骄傲 哈哈   说  纸床  前 几天   做 冬奥 志愿者    想 说   考去 北京 四年  总    志愿者   想      北京 举办 ,0
 女人  国外 各大 平台 大肆 发布  北京 冬奥  实 内容 严重 rh 骂   难听  转移  油管    朝鲜族     说   真的 气 到手 抖 气到 哭求 求  海外  同胞们  举报     团结起来 求求  油管 nosori 노 소 리 请  复制 粘,-1
  小伙伴  感叹   开   家门口  冬奥 一张 机票     感受一下 奥运 氛围  我俩  疫情  困住 压根  办法  造化弄人    错过  下次   家门口 举办 估计 半只 脚  踏进 棺材 ,0
北京 冬奥会 开幕式   黎巴嫩 代表团  服装  黑    有个 运动员  兴奋 像是  跳舞 补充  冬奥 邓 超图  网络 德国 代表团   服装 右肩 那块加  亮绿 哈哈哈哈 哈哈哈哈   巧思   黑色  平凡  摩洛哥   代表团  男 运动员 戴  帽子 看着  绅士 诶        中文 全称  意大利 代表团    国旗 印在 羽绒服     厉害    披风  领口  确认  羽,1
虎虎生威 庆 新春 虎年 闹元宵  中国 冬奥 健儿 加油,1
肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融   未来 冬奥 加油 北京 加油 中国 加油 逐梦 冰雪 圆梦 北京 创造    辉煌 ,1
今日 立春 冬奥 开幕 奥运健儿 加油 期待 冬奥 赛场    抹 中国 红,1
北京 冬奥会  开幕 cxk 蔡 徐坤 加盟 星运 电台 冬奥 季 今晚 北京 冬奥会  开幕  期待  中国 运动员  亮相 共赴 冰雪 之约  中国 健儿 加油,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战   宝 平安 健康 顺顺利利 我爱你   哒,1
明天    冬奥 电台  今晚   白 嫖  照片  嘿嘿嘿,0
肖战 肖战 晒 汤圆 祝  元宵节 快乐 肖战  京腔 太 可爱    肖 春生    春生 哥哥,1
广西 百色市 急需 口罩  防疫 物资 请 关注 冬奥    关注 广西 疫情,-1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 手绘 雪容融 肖战 手绘 雪容 融融 梦于 冰雪 助威 予 冬奥 盼 冬奥 健儿  勇闯 夺金 创 辉煌  祝  元宵节 快乐 冬奥 健儿 加油,1
北京 冬奥 今晚 闭幕 雪花 真不错,1
冬奥 位 夺冠 选手 全  黑龙江 黑龙 短道 金牌 闪耀 龙江 速滑 奖牌 全拿,1
羽生 结弦  国际 滑联 认定 羽生 结弦    欣赏  运动员 实力 强大 表演  美的 冰上 王者 疫情 前  想 报名 当花 滑馆  志愿者  疫情 比赛 考研 种种 事情 冲淡  热情  听说 羽生 结弦  参加 北京 冬奥 慢慢    事 忘   未来      来到 北京  那一刻 烟消云散    王者 转变成  攀登者   这座 山 总 有人 登   冬奥 决赛  挑战 仿佛    使命 摔倒    完美     花 滑   热爱  挑战 自我  奥林匹克 精神 击中  随波逐流   陌上 花 开  缓缓 ,1
下午  挂点 社区   文明 创建 情况 路上      小车 转   小时  安好 返回 单位  值班 小时 今晚 冬奥 开幕式     遗憾,-1
王 濛 冬奥会 理解    魔王  碾压 级别     跑 场  资格      理解   冬奥 沾边  运动员   跑 场     冬奥 金牌  王 濛  不行,-1
北京 冬奥会 开幕式 群英 高才 汇聚 冬奥 共谱 华美 乐章 疫情 时代   北京 冬奥会 何陋  ,1
苏翊鸣 比赛 裁判长 承认  冠军 分打 高  喂喂  总局  想要  金牌 被明  黑 掉  干事 北京 冬奥 金牌 目标    真的    ,-1
妥妥  冬奥 气氛 组 上线    一个劲儿  开心  不行 不行 ,1
刻  任子威 骨子里  幽默 刻  任子威 骨子里  幽默 北京 冬奥会 冬奥 欢乐 观赛 团 L 搞笑 人气 榜  微博 视频,1
冬奥 北京 冬奥会 闭幕式  挪威 选手  奏国歌 时猛 整理 头发 美国 选手 头发 太 真实  太 开心 ,1
   冬奥 团建   视频 超 可爱 L 爱 广元  微博 视频,1
TES 官博 分享 冬奥 问答  奥运健儿 加油 Knight  头发  太 蓬松  英雄 联盟 L 兔玩电 竞  微博 视频,1
报纸   新民晚报 头版 做  跨版  版式 设计  色彩 搭配   跳  活跃  内容   吻合  四开 报纸  北京 冬奥 今晚 开幕  日子 里  做 显得 大气,1
 冬奥 加油,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 XZ 肖战 手绘 雪容融,1
不行     外 网转 一圈  想   东奥  冬奥 拉 踩,-1
   冬奥 闭幕式  吃 烤鸭  升国旗 第一  不行 升国旗   吃   乖乖 升旗 好像    一种 升国旗    手边  东西  放放要  国旗 升完  干  意识,0
龚俊 冬奥 播报  龚俊,1
北京 冬奥 闭幕式 鸟巢 现场 黑衣服  小林 感觉 好像 好像,0
吃饭  猩猩 姐   冬奥 欢落 半天    新闻 重播 正好 重点  锅  疫情 数据  天气  飘过 做好 防护 加强锻炼 增加 免疫力 鸭 猩猩 姐  外围  做好 阔能  应对     喲,0
广西 百色市 急需 口罩  防疫 物资  冬奥 期间  关心     冬奥 赛程  冬奥  获奖 情况  希望    关注  疫情 形式 百色  真的 很缺 物资 希望    ,-1
周深 加盟 星运 电台 冬奥 季 周深  音乐 赋予   太  心灵 悸动   硝烟弥漫 过眼  春光 烂漫 欢腾  青春 畅想     干净  声线  清晨 唤醒 快乐  行走  灿烂  阳光 里,1
一局   分钟   冬奥 运动员 入场 结束  不行    赶紧 结束,0
肖 战时 影肖战  喜欢  肖战暖心 陌上  如玉 公子 世 无双 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战玉骨遥 肖 战时 影 肖战 最帅 肖战 演技 ,1
刘宇 加盟 星运 电台 冬奥 季 ly 刘宇 国风 美少年 赌上   信仰     战场 尽情 驰骋 飞翔  奥运 报道 星运 电台  刘宇 一道  中国 军团 加油 助威,1
年 北京 奥运会 开幕 期间 俄罗斯  格鲁吉亚 爆发 站场 俄军 攻破 格鲁吉亚 首都 年 索契 冬奥会 期间 普京  释放 善意 释放  霍 多尔 科夫斯基  几个 说唱 歌手  政治犯     一年 乌克兰 爆发 颜色 革命 亚努 科维奇 倒台 俄乌 关系 剑拔弩张 俄罗斯 兵不血刃 拿下 克里米亚 年 北京 冬奥会 俄乌  陈兵 边境  爆发 口水仗 战争 可谓 一触即发 奥运会 真神,0
萌娃 滑雪 技能 太牛   时速  倾斜度 冬奥 欢乐 观赛 团 北京 冬奥会 L 高质 男  微博 视频,1
 终于 找到 马哥  张哥 ,0
今日 立春 冬奥 开幕 奥运 冰雪 之梦   今夜 点燃 期待 冬奥 赛场    抹 中国 红 奥运健儿 加油  鸭 共襄 冰雪传奇 见证 体育 盛宴 相约 冬奥 共赴 未来,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖 战时 影 元宵节 快乐 肖战 手绘 雪容融 祝福 每位 冬奥 运动员   逐梦 冰雪 享受 比赛 圆梦 北京 创造    辉煌 肖战 多才多艺 真诚 热忱  喜欢 肖战,1
Loco 美美 听歌 听听 冬奥 现场  音响设备 运动员  手机 倒扣 不看  黑 听    不错  选择,0
周深 太 可爱  晚安 阿崽   時 差  晚安,1
北京 冬奥   ,0
肖战 晒 汤圆 祝  元宵节 快乐 xz 肖战 手绘 雪容 融为 冬奥 健儿 加油 开开心心,1
希望  一届 夏奥  冬奥   疫情  结束   一场 比赛,1
希望 k 宝 千金 莎莎 完美 度过 冬奥 美美 clean   乱七八糟  事,1
再见  北京 冬奥 这届 北京 冬奥会  有个 很大  遗憾  现场 观众 人数 受限制 太 严重  半年前  东京 奥运  疫情 原因 空场 就让   遗憾     北京 冬奥  期待   营造   氛围   展示 中国 抗疫 成果 可惜  欧美 球场 早已 高朋满座 日本 联赛  异常 火爆   北京 冬奥 准 空场  说  这场 盛会 留下    遗,-1
冬奥 赛场 播放  时代 少年 团  朱雀,0
广西 百色市 急需 口罩  防疫 物资 希望 关注 冬奥    关注  广西 疫情,0
 马龙 冬奥  几张 照片  可爱 死       可爱,1
  北京 冬奥 黑 科技 拉满 以往   电影 中    子弹 时间 特效     冰壶 馆  数十台 相机  运动员 动作  度 捕捉  智能算法  合成  建模 观众   欣赏  超 慢动作 全景 观看  电影 特效 式 画面  北京 冬奥会  被誉为 史上 首届 云上 奥运  奥运 转播 云  全球 观众 带来 超过 小时  精彩 赛事 内容 L 梨 视频  微博,0
美国队  队服  最丑  今日 立春 冬奥 开幕,-1
北京 冬奥 闭幕式 鸟巢 现场 年 意大利     疫情  意大利  冬奥会 很不舍  感觉 热闹 过后  落寞,-1
豫见 新一代 配合 疫情 防控 工作  建设 美丽 中国 立春 邂逅 冬奥 冰雪 之约   未来 ㅂ و 河南 警察 学院 法律系,1
空中 技巧 混合 团体 美国队 中国队 加拿大队 聚焦 北京 冬奥 中国 空中 技巧 队 银牌,0
 意大利 宣传片  想    去过 威尼斯   该死  疫情  一届 冬奥  亲眼 看妹宝 比赛 ,-1
雪山 飞 黑 科技  健康 冬奥 添 保障 O 雪山 飞 黑 科技  健康 冬奥 添 保障,0
美国  参加 冬奥     多人 嘴巴 硬 身体   诚实  北京 冬奥会 开幕式,-1
鼎 喵    冬奥 学 汉字 单板 滑雪 O 鼎 喵    冬奥 学 汉字 单板 滑雪,0
中国女足 vs 日本   未来 冬奥 加油,1
广西 百色市 急需 口罩  防疫 物资 百色 地处 边境 本来 广西  全国   感  低  百色  广西   感  低    网络      百色 爆发  疫情 或者说  百色 疫情  严重性   正 冬奥 国人  关注度   冬奥   百色 此轮 疫情 关注   并不多  事实上 百色 疫情   月 号     新增 病例  降下来    百色 防疫 情况   严峻 希望    关注  能力   力所能及  捐些 防疫 物资      情况  百色  防疫 人员   防疫 物资  保暖 物资 一方有难 八方支援  中华民族  传统美德   踊跃 支持 百色    希望   力所能及  建立 一套 完善  公共 突发 卫生事件 应急 处置 机制 保证   物资 储备 v 光计,-1
 冬奥 茶具 这块  离不开 冰壶  ,0
山农 运动 打卡 助力 冬奥,0
 天 星期三 年 零 天 爸妈 阳光  持续 卖力  工作   温暖  天气 真   老鼠   办公室   男女 卫生间 里  放  粘鼠板 希望    老鼠    老鼠   真的   那种 精神 层面   老鼠  浑身 战栗 舒服  感觉 营业厅  大屏幕  天   播放 冬奥会  赛事 冬奥 赛场  摘金 夺银 为国争光  体育健儿  真让人 热血 燃爆     时代  追捧  榜样 老妈 老爸  爱  永,1
妈    喜欢 体育    懂事  关注 夏奥 冬奥  疫情 前会 买票     运动员  现场 看过 女足 跳水 兵乓  真的  棒     网络 暴民  喜欢 打着   旗号 凌霸  好多 运动员 退役    想方设法  推广    运动 谷    做 雪上运动  推广    好像  明星    运动员  一点点 关系     骂 死  冬奥 结束   还会 关心   运动员  真的 不想  关注  体育赛事   关注 运动员  好像 少        ,0
 年 月 日 周日 北京 冬奥 闭幕 突发 疫情 例   例  例 无症状 日早 睡梦中  松松 听到 学校 紧急通知 线 上课时 大叫 太棒了   睡觉     菜场 买菜 包 馄饨 生活 有序 小区 里 医护 志愿者   辛苦 核酸 防疫 中  做 完 第五次 核酸   小区  腊梅 天  冷    久违  太阳,-1
冬奥 位 夺冠 选手 全  黑龙江 早起 刷  词条    地域 黑 赶紧 滚   年 听  太  阴阳怪气 嘲讽 东北  屁 磕   不行  不行    城市  牛 逼  贡献  一个亿    看不上    地域 黑    骂     骂 东北  骂   中国   地域   祖国 做出  贡献 阴阳人 赶紧 送自,-1
广西 百色市 急需 口罩  防疫 物资 别压 热 搜   帮忙 扩散  关注 冬奥      关注  百色 疫情 真的  严重 物资 缺少  希望  帮   天    下雨  冷  湿 物资  不够 望能    帮 广西 百色 度过 难过,-1
拼过  闪耀  支持 冬奥 健儿 闪耀 出征,1
北京 冬奥会 花样滑冰 隋 文静 韩聪 当初    俩  关注  冬奥    喜欢 冬奥    冰上 项目  紧张 刺激 希望   受伤   好好 ,1
肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融 肖战,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融 看肖战 手绘 雪容融 画   可爱 祝 冬奥 健儿  逐梦 冰雪 圆梦 北京 元宵节 快乐,1
竞技 体育 吸引    惊喜  遗憾 再见  北京 冬奥 再见  冰墩 墩    疫情,-1
 中国 冬奥 健儿 加油 初四  公园 遛  遛 L 茶香 幽幽  微博 视频,0
冬奥 闭幕式 柳枝  节目 寓意  太好了  真的 折柳 送别  中国   浪漫   冬奥,1
 冬奥 我拉黑    总   评论 区抖 机灵   仔 看着 真可怜,-1
岁 小将 苏翊鸣 银牌 创造 历史 在校 曾多次 获评 三好学生 优秀 班干部 吉林 观 冬奥 北京 冬奥会 快手,0
肖战 手绘 雪容 融为 冬奥 健儿 加油 今儿   快乐  日子   哥哥  手绘   战战  汤圆 今儿 真 开心,1
冬奥 听到 饮酒 歌 DNA 乱窜 哈哈哈哈,0
参加 北京 冬奥 闭幕式 运动员 数 破纪录  多人 参加 冬奥   疫情   问题  夸夸 我国  疫情 防控,1
  雪容融 北京 冬奥 立春 开幕,0
讯 飞 双屏 翻译机 亮相 北京 年 冬奥会 冬奥 媒体 中心 服务 新闻 工作者 助力 无障碍 沟通 高效 跨 语言 交流  技术 说话,0
北京 冬奥 立春 开幕 晚上    开幕式,1
再见  北京 冬奥   续费 呜呜 呜呜 我充 VIP 行不行 妈杯,0
 一墩 难求   冰墩 墩 自由  塘 李 小学 美术 教 师傅 静  带领  该校 师生 在家 手工 制作  一个个 憨态可掬  冰墩 墩 剪纸作品  傅静  精心 创作 多幅 剪纸作品 献礼 冬奥 惟妙惟肖  冰雪 运动 图案  雪花 剪纸 外框 富有 生气     买  冰墩 墩    剪刀  动手 剪  ,0
 中国 冬奥 健儿 加油 L 文道生 aa  微博 视频,1
万事开头难 期待 冬奥会 开幕式 北京 冬奥 开幕式   ,1
羽生 结弦  想想  可惜  高考 没报 北京  学校   省内 当初  想着 存钱    北京 冬奥   大四       比赛    扔 噗 噗  见证   第三次 冬奥 可惜    疫情 终究   见到     可惜      心愿  四年 里 幸好    喜欢     前缀        喜欢     前缀   flyyuzu     退役    滑冰       退役     关注 花滑  感谢 yuzu 参加  北京 冬奥会 感谢  yu,0
螺旋 圆舞曲 冬奥 雪花 拟人 风  雪之歌,0
冬奥 冰壶 团建 接力,0
爱 运动 中国  安踏 王一博 冬奥 文化 推广 使者 冬奥 加油 加油 加油 加油 加油,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融 肖战,1
再见  北京 冬奥 感觉  近几年 疫情  举办   成功  国际性 大型 盛会    相关 元素 太 禁得起 推敲  发自内心   ,1
 中国 冬奥 健儿 加油  小时 核酸 证明 深圳 疫情,1
 中国 冬奥 健儿 加油 好久不见 L 跳跳 猴子 xy  微博 视频,1
冬奥会 国外 选手 冬奥 村  沙雕 日常 荷兰人 变 扫雪 工 美国 选手  跳舞 L 三姑六婆 说  微博 视频,0
下班  走进 莲花池 公园  找到 春  讯息 受 疫情 影响   冬奥 气氛 活动  终止 年 味儿    几串 红灯笼  回家 一口 春意 唇齿 间  立春 冬奥 开幕,-1
疫情 快快 结束  米兰  再见  北京 冬奥,1
沉迷 羽生 结弦好 几天  感谢 冬奥,0
害   疫情   冬奥 多好,-1
好久没 发微博  感觉       微博上  冬奥  睡  质量  下降    吃点 鼻炎 药 当助眠剂  想 祝贺 meme  帅哥 生日快乐  希望      互联网 发现 新 帅哥    心动 挑战  视频 up 说  为啥    帅哥   现实 中 压根 遇不到 帅哥 网络 营造  一种 随随便便    帅哥  假象,0
   好日子 女足 进 决赛 冬奥 开幕 立春    期待 中国 大地    奇迹 希望  春天  到来 疫情 消散 祈愿 国泰民安 春暖花开 中国女足 点球 淘汰 日本,1
早上 有空  打开 手机 偷偷  冬奥   谷爱凌   跳跳  真    成绩     女孩 真美   自信  女生 真的  散发 光芒  谷爱凌 银牌,1
美国  时间  参加 冬奥,-1
豫见 新一代 奋进 新 征程     河南 抗疫 加油,1
人间 至美 春风 归来 人间 最美 如愿以偿 春风 回归 烟火 人间 春暖花开 一场 遇见 北京 冬奥 立春 开幕  年初 四,1
谈 家庭 谈 父母 兄弟 谈 教育 谈 爱情 谈 两性 谈 学业 谈 咖啡 谈 疫情 谈 核酸 谈 凉糕 谈 面条 谈 冬奥 谈想  想  不谈 再见,0
 太 喜欢  冬奥 ,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 手绘 雪容融  喜欢 肖战  爱 肖战 肖战正 能量 艺人 肖战 顺顺利利 肖战  喜欢  肖战 平安 喜乐 肖战   小飞侠 爱   ,1
肖战 手绘 雪容 融为 冬奥 健儿 加油  说 专心 画画  肖战,1
愿 不负 时光 不负 努力  安心 安 希望    日子  想 芝麻 馅 汤圆  甜 幸福 团圆 愿初 心不改 未来  期 国安 家 安  平安  中国 冬奥 健儿 加油,1
  冬奥 笑 死 精神 美国 人胖 刘来 跪 舔 出丑    奥运     滚回  美国 老爹 怀抱      中国 捞钱 岁  演 偶像剧 三番 开心  脸  肿  凶相毕露  张嘴 大牙 花子 快去 闻闻  姐姐 有没有 口臭  跳   气    热度 赏给   希望 真的   实力 提上去  再用 童年 回忆 摇尾,-1
   冬奥  选 帅哥 哈哈哈 哈哈 瑞士 小哥 好帅  中国 选手  拥抱 美国 选手  泪目 北京 冬奥会  世界 连接    恭喜 中国 空中 技巧 团体赛 获得 银牌 空中 技巧 混合 团体 决赛 北京 冬奥会,1
送给 冬奥 健儿  明信片 O 绿洲 L 太阳 庚宝  微博 视频,0
终于 有种  年  完  感觉 希望 疫情 早点 结束 四年 后能  意大利  冬奥,1
龚俊 冬奥 播报  老公   冬奥 比赛 越来越 精彩   老公    有意思,1
冬奥 倒计时 天 冰雪 变装 祝福 距离 北京 冬奥会 开幕  天 腾讯 冬奥 报道 雪舞 大使,1
周深献声 致敬 冬奥 大气磅礴  歌 L 新华社  微博 视频,1
 真的  哭  广西 疫情 黄军  好像  严重   冬奥 一点 热度   物资  缺    开学    大学 半年 同学  真的 说    班上 关系 最好  男生   真的 会无语 苏州  疫情  狗屎 疫情  新冠能  早点 消失   新冠 疫情     想 出去玩   想着 说出 省去 玩     地方  ,-1
越来越 感觉 冬奥会 办    时机   坏 最起码 近期 新闻  冬奥  报道    程度  提及 疫情 防控 政策   应对  平时  觉不出     合计 合计  身处  环境  媒体  正向 输出 ,1
再见  北京 冬奥  舍不得     结束 ,1
刘雨昕 冬奥 如约   刘雨昕 黑日白 月 视觉 盛宴 混剪 伪 MVcr 身体健康 心情 棒棒 L 身体健康 心情 棒棒  微博 视频,1
桂林 天湖 滑雪场 华南 首个 高山 滑雪场 再现 云海 助力 冬奥 欢迎,1
 无与伦比  无懈可击 相信   国宝 大熊猫      加油 冰雪 健儿   熊猫 参加 冰雪 运动 逐梦 北京 冬奥  三亿人  爱上 冰雪 L 成实 圈圈  微博 视频,1
俄罗斯 瑞士 冰球场      冰球  打架   太 刺激   冬奥   好像 不行  冬奥  伙食 不错 回去 多吃点,0
冬奥 开幕式 美推 趋势 第一 点开 评论 区 即可 见证 美国  集体 破大防 说      nobodycares 拜托   热一 诶   指责 中国 genocide  猪八戒 爬 墙头 倒打一耙  更有甚者   操心 新冠 疫情   小日子  糊涂   亡国     泛滥  放心  声明 政府 人员      临时 申请 签证     冬奥 可少不了 美国 少    开  奥运会  开个 三天三夜  世界 和平 ,-1
重逢 特特 结识 涵哥  花样滑冰 冠军 闫涵  观看 冬奥 男单 自由滑 比赛 围观 特哥 涵哥 下厨 番茄 火锅 鸡 蚝油 生菜 真的 好吃 未来      道路  闪亮,1
  冬奥    想 单板  想 双板  想 滑冰    想 射击 冬奥,1
自由式 滑雪 空中 技巧 混合 团体 名单 O 今晚 自由式 滑雪 空中 技巧 混合 团体比赛   拉开战幕 中国队 派出 三位 经验丰富  选手,1
 人能 拒绝 番茄 鸡蛋 打卤面 冬奥  五星 冬奥会 餐桌上    美食 L 五星 体育  微博 视频,0
今晚  拜拜 点灯 差点 烧到 手下 楼上楼  慢吞吞 豆干  猫 耳朵 吃 完      好吃 朱曼娘  下线  耶耶耶明兰   明天    晴天  希望 下个 晴天 快点   话 说  冬奥 真的 好棒 好多 运动员  体育项目      仲文 同志  东西,1
下午  北京 冬奥 城市 志愿者 现场 见证  苏翊鸣 夺金 时刻  首钢 滑雪  跳台 站点 做好 赛时 保障 工作 有序 引导 观众 入场 离场   庆祝 中国 选手 夺冠,1
韩国 人滚  天天  中国 买 热 搜 别蹭 冬奥 热度  韩国 艺人  接   感染 新冠  公众 人物 疫情 防控 意识 强 活该 不火  封杀 批评,-1
     小朋友  冬奥 竞技    想  国外 读个 二硕  玩 一圈 恢复  活力       虚岁 高龄 ,0
冬奥 官方 店冰墩 墩 卖光  听说 这是 新晋 顶流 赶忙  抽屉 底层 翻出来    有眼不识泰山 ,0
北京 冬奥会 开幕式 年 北京 冬奥 开幕式  封神    国外  惊叹,1
再见  北京 冬奥 再见 ,1
肖战 期待 冬奥 赛场    抹 中国 红  奥运健儿 加油,1
 国风 音乐  唱响 冬奥    青春 ,1
冬奥 哈哈哈 哈哈  哈哈 美国    国家  旗手 不冷  不冻   抹 油 ,0
祝 冬奥 健儿  优异  成绩 春节快乐 水大赏 今日 立春 冬奥 开幕 亲子 时刻 L 希妈 育儿 笔记  微博 视频,1
王一博 冬奥 文化 推广 使者 wyb 王一博 滑板 运动 推广 大使 王一博 愿  如风般 自由 如星般 璀璨 如诗般 绮丽 如梦般 辽远 如歌般 悠扬 如画般 绚烂 忘 心 勇敢 飞翔,1
初四 立春 延庆 逛逛 喜迎 冬奥 刚停 好车   一群 黑尾 蜡嘴雀  算观 鸟  观鸟,1
冬奥 村长 回应 国外 运动员 不舍 奥运会 O 冬奥 村长 回应 国外 运动员 不舍 奥运会,1
天  冬奥 火炬   苏炳添 夏季 奥运会 强势 乱入,0
实话 说 冬奥 开幕 前  一点 疑惑 疫情  严重 我国 疫情 好不容易 控制    真的       险  全世界 涌进 北京    经历   多天  比赛 看过  冬奥  开 闭幕式  由衷  疫情  背景  全 中国  全世界 人民  太   一场 成功  冬奥会  奥林匹克 精神 太 鼓舞人心  感谢 国家 感谢 全世界  运动,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 手绘 雪容 融为 冬奥 健儿 加油 xz 肖战 晒 汤圆 祝  元宵节 快乐 肖战 真帅 肖战  贴心 肖战正 能量 艺人  喜欢 肖战 肖战 平安 喜乐 xzxzggxfx 不互,1
